label,message
0,Hello how are you doing today
0,Your order has been delivered successfully
0,Meeting is scheduled at 10 AM tomorrow
0,Happy birthday have a great day
0,Your OTP is 458921 do not share it with anyone
0,Reminder your electricity bill is due tomorrow
1,URGENT send your OTP immediately to avoid account block
1,Click this link now to verify your bank account
1,Congratulations you won a lottery click here
1,Your account will be suspended share details now
1,Update your KYC by clicking this link immediately
1,You have won 50000 rupees claim now
1,Send your password to confirm your identity
1,Act fast your account is at risk verify now